Name,Age,Gender,Emotion,Timestamp
Unknown,35,"{'Woman': np.float32(2.5421493), 'Man': np.float32(97.45785)}",sad,2025-03-25 21:16:58
Unknown,31,"{'Woman': np.float32(4.528344), 'Man': np.float32(95.47165)}",sad,2025-03-25 21:17:00
Unknown,34,"{'Woman': np.float32(1.9481854), 'Man': np.float32(98.05181)}",sad,2025-03-25 21:17:03
Unknown,34,"{'Woman': np.float32(1.3134911), 'Man': np.float32(98.68651)}",neutral,2025-03-25 21:17:06
Unknown,33,"{'Woman': np.float32(7.776552), 'Man': np.float32(92.22345)}",neutral,2025-03-25 21:17:10
Unknown,36,"{'Woman': np.float32(3.4793968), 'Man': np.float32(96.52061)}",sad,2025-03-25 21:17:12
Unknown,35,"{'Woman': np.float32(2.5630915), 'Man': np.float32(97.43692)}",sad,2025-03-25 21:17:15
Unknown,35,"{'Woman': np.float32(2.5003157), 'Man': np.float32(97.49969)}",sad,2025-03-25 21:17:18
Unknown,27,"{'Woman': np.float32(1.0020292), 'Man': np.float32(98.99797)}",sad,2025-03-25 21:17:25
Unknown,37,"{'Woman': np.float32(5.085317), 'Man': np.float32(94.91468)}",sad,2025-03-25 21:17:28
Unknown,35,"{'Woman': np.float32(7.9472103), 'Man': np.float32(92.052795)}",neutral,2025-03-25 21:17:31
Unknown,30,"{'Woman': np.float32(1.285324), 'Man': np.float32(98.714676)}",sad,2025-03-25 21:17:33
Unknown,34,"{'Woman': np.float32(1.4421681), 'Man': np.float32(98.55783)}",sad,2025-03-25 21:17:36
Unknown,35,"{'Woman': np.float32(2.5353289), 'Man': np.float32(97.464676)}",neutral,2025-03-25 21:17:39
Unknown,35,"{'Woman': np.float32(1.4365076), 'Man': np.float32(98.5635)}",sad,2025-03-25 21:17:41
Unknown,32,"{'Woman': np.float32(1.5563369), 'Man': np.float32(98.443665)}",neutral,2025-03-25 21:17:44
Unknown,29,"{'Woman': np.float32(0.05071063), 'Man': np.float32(99.94929)}",sad,2025-03-25 21:17:52
,32,"{'Woman': np.float32(0.32265395), 'Man': np.float32(99.677345)}",sad,2025-03-25 21:38:52
